DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,TOXCAST ACTIVE,TOXCAST TOTAL,% TOXCAST ACTIVE,HIT CALL,CONTINUOUS HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
DTXSID3046110,4-[(Phenylmethyl)amino]benzenesulfonamide,104-22-3,C13H14N2O2S,262.077599,3,244,1,Inactive,0,-1.0444365404174667,0.052221827020873336,19.15708812260535,1.2823294969977375
DTXSID5046988,DL-Cysteine,3374-22-9,C3H7NO2S,121.019750,1,244,0,Inactive,0,-0.316011484276562,0.0158005742138281,0.00018579731747492365,-3.730960560602056
DTXSID3046112,Phanquinone,84-12-8,C12H6N2O2,210.042927,32,93,34,Inactive,0,1.3354648015079864,0.06677324007539932,31.96735914266134,1.5047067602272062
DTXSID8046113,Crotoniazide,7007-96-7,C10H11N3O,189.090212,18,244,7,Inactive,0,-0.40876727951057135,0.02043836397552857,19.15708812260535,1.2823294969977375
DTXSID3046114,Dianiline,58338-59-3,C13H13N3O,227.105862,42,244,17,Inactive,0,1.4302313027083722,0.0715115651354186,6.542882414445261,0.8157691154356933
DTXSID8046115,Trimethidinium methyl sulfate,14149-43-0,C19H42N2O8S2,490.238259,0,78,0,Inactive,0,0.28983819587130166,0.014491909793565082,0.00015676112227790137,-3.804761635999274
DTXSID3046116,Maleylsulfathiazole,515-57-1,C13H11N3O5S2,353.014013,0,78,0,Inactive,0,1.3751150411117326,0.06875575205558662,19.15708812260535,1.2823294969977375
DTXSID8046117,Metocinium iodide,2424-71-7,C19H24INO3,441.080090,3,244,1,Inactive,0,0.11727882938435014,0.005863941469217507,19.15708812260535,1.2823294969977375
DTXSID3046118,Tosifen,32295-18-4,C17H20N2O3S,332.119464,0,78,0,Inactive,0,0.31983339914232767,0.015991669957116383,19.15708812260535,1.2823294969977375
DTXSID8046119,Pranolium chloride,42879-47-0,C18H26ClNO2,323.165207,3,244,1,Inactive,0,-1.1118091109755117,0.055590455548775584,19.15708812260535,1.2823294969977375
DTXSID7046120,Lenperone,24678-13-5,C22H23F2NO2,371.169685,4,78,5,Inactive,0,-2.6155921591228233,0.13077960795614116,19.15708812260535,1.2823294969977375
DTXSID2046121,Clonixin,17737-65-4,C13H11ClN2O2,262.050905,6,78,8,Inactive,0,-3.535508596153479,0.17677542980767397,7.930448882685347,0.8992977701367613
DTXSID9022946,Dinoprost,551-11-1,C20H34O5,354.240624,1,78,1,Inactive,0,3.021667818463948,0.1510833909231974,19.15708812260535,1.2823294969977375
DTXSID5022851,Clothiapine,2058-52-8,C18H18ClN3S,343.090997,17,244,7,Inactive,0,-0.36643897150848975,0.018321948575424487,0.02034577101080032,-1.6915258477427955
DTXSID2046123,Fluperlapine,67121-76-0,C19H20FN3,309.164126,21,256,8,Inactive,0,-0.42237488049413197,0.0211187440247066,0.0010603083529003158,-2.9745678172929138
DTXSID0040620,Sapropterin dihydrochloride,69056-38-8,C9H17Cl2N5O3,313.070845,0,78,0,Inactive,0,0.7429870443801809,0.037149352219009044,19.15708812260535,1.2823294969977375
DTXSID7046126,(S)-Mephenytoin,70989-04-7,C12H14N2O2,218.105528,1,244,0,Inactive,0,-0.7908250973289078,0.03954125486644539,5.771758530441526,0.7613081534868706
DTXSID5048421,Dibenzepin hydrochloride,315-80-0,C18H22ClN3O,331.145140,4,244,2,Inactive,0,-0.6028605407687007,0.030143027038435032,0.0003713729221498601,-3.430189765080907
DTXSID2046127,Pravadoline,92623-83-1,C23H26N2O3,378.194343,24,244,10,Inactive,0,-0.5863751392316109,0.029318756961580546,0.00004904219918495205,-4.309430063112917
DTXSID2040234,Irsogladine maleate,84504-69-8,C13H11Cl2N5O4,371.018809,1,244,0,Inactive,0,-0.40658728456520465,0.020329364228260233,19.15708812260535,1.2823294969977375
DTXSID7046128,Nafamostat mesylate,82956-11-4,C21H25N5O8S2,539.114455,5,244,2,Inactive,0,-0.559016801774216,0.0279508400887108,19.157088122605348,1.2823294969977375
DTXSID1046130,Tetridamine,17289-49-5,C9H15N3,165.126597,0,244,0,Inactive,0,-0.4974053973561813,0.024870269867809065,19.15708812260535,1.2823294969977375
DTXSID6046131,Iodoalphionic acid,577-91-3,C15H12I2O3,493.887580,8,244,3,Inactive,0,0.4635350297145665,0.023176751485728325,0.0000490422058605764,-4.309430003996755
DTXSID1046132,Risedronate sodium,115436-72-1,C7H9NNa2O7P2,326.964964,0,244,0,Inactive,0,0.30009350984596717,0.015004675492298359,0.0028525721237115456,-2.5447633661791764
DTXSID6046133,Lornoxicam,70374-39-9,C13H10ClN3O4S2,370.980126,3,78,4,Inactive,0,-5.498768059160401,0.2749384029580201,9.306117910926998,0.9687685508558065
DTXSID1046134,Benziodarone,68-90-6,C17H12I2O3,517.887580,61,244,25,Inactive,0,-1.3089856121966685,0.06544928060983343,19.15708812260535,1.2823294969977375
DTXSID6046135,N-Formylamphetamine,22148-75-0,C10H13NO,163.099714,0,78,0,Inactive,0,-0.44692863284829,0.0223464316424145,0.0005754122329567724,-3.2400209094787993
DTXSID1046136,Loretin,547-91-1,C9H6INO4S,350.906220,2,244,1,Inactive,0,-0.3559400704078119,0.017797003520390594,0.00004904216265297064,-4.309430386622958
DTXSID6046137,Indocate,31386-25-1,C22H26N2O2,350.199428,60,244,25,Inactive,0,0.48679229718119615,0.02433961485905981,19.15708812260535,1.2823294969977375
DTXSID1046138,Benzobarbital,744-80-9,C19H16N2O4,336.111007,2,78,3,Inactive,0,0.9591461960309806,0.04795730980154903,4.893523162716475,0.6896216483238512
DTXSID6046139,Guaiactamine,15687-23-7,C13H21NO2,223.157229,2,78,3,Inactive,0,1.0494866112597867,0.052474330562989335,19.15708812260535,1.2823294969977375
DTXSID5046140,Chlormidazole,3689-76-7,C15H13ClN2,256.076726,44,259,17,Inactive,0,0.07935261261025975,0.003967630630512987,19.15708812260535,1.2823294969977375
DTXSID6035784,(7S)-Hydroprene,65733-18-8,C17H30O2,266.224580,175,444,39,Inactive,0,0.435845061364005,0.021792253068200252,0.00004904222975842679,-4.309429792368794
DTXSID5046142,Pincainide,83471-41-4,C16H24N2O,260.188863,3,244,1,Inactive,0,-0.58576697520845,0.0292883487604225,19.15708812260535,1.2823294969977375
DTXSID0046143,Clofenoxyde,3030-53-3,C16H12Cl2O3,322.016350,8,78,10,Inactive,0,-0.7790413179845036,0.03895206589922518,4.339373248718891,0.6374270073284118
DTXSID0042614,Tetrabenazine,58-46-8,C19H27NO3,317.199094,8,244,3,Inactive,0,-0.3113266088083858,0.015566330440419291,0.004340425259826435,-2.362467717734458
DTXSID1047815,Chlorphentermine hydrochloride,151-06-4,C10H15Cl2N,219.058155,4,244,2,Inactive,0,-0.5718525183471865,0.028592625917359327,19.15708812260535,1.2823294969977375
DTXSID5046144,Bamethan,3703-79-5,C12H19NO2,209.141579,0,78,0,Inactive,0,-1.0763373587925917,0.05381686793962959,19.157088122605355,1.2823294969977377
DTXSID0046145,Clobenzorex hydrochloride,5843-53-8,C16H19Cl2N,295.089455,13,244,5,Inactive,0,1.8814632984378727,0.09407316492189363,19.15708812260535,1.2823294969977375
